Swim Date,Swim Title,Swim Start Time,Swim End Time,Activity Variant,Pool Size,HR Device,Device,Location,Firmware
06/12/2023,,05:27:15PM,05:56:17PM,pool,40,,goggles,,2.2.396

Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
06/12/2023,05:49:41PM,7,23x40,40,0,REST,0:00.00,0:28.05,20:44.21,1,0,1120,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:50:09PM,7,23x40,40,40,FR,0:18.74,0:00.00,21:02.95,1,40,1160,1.94,0:46.86,0:23.43,39,64,20,20,5
06/12/2023,05:50:28PM,7,23x40,40,0,REST,0:00.00,0:29.77,21:32.71,1,0,1160,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:50:58PM,7,23x40,40,40,FR,0:17.42,0:00.00,21:50.13,1,40,1200,1.96,0:43.55,0:21.78,34,75,17,17,5
06/12/2023,05:51:15PM,7,23x40,40,0,REST,0:00.00,0:30.25,22:20.38,1,0,1200,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:51:45PM,7,23x40,40,40,FR,0:16.93,0:00.00,22:37.31,1,40,1240,2.5,0:42.34,0:21.17,32,56,15,15,5
06/12/2023,05:52:02PM,7,23x40,40,0,REST,0:00.00,0:30.06,23:07.37,1,0,1240,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:52:32PM,7,23x40,40,40,FR,0:16.68,0:00.00,23:24.05,1,40,1280,2.79,0:41.68,0:20.84,30,51,13,13,4
06/12/2023,05:52:49PM,7,23x40,40,0,REST,0:00.00,0:15.43,23:39.48,1,0,1280,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:53:27PM,7,23x40,40,0,REST,0:00.00,0:07.97,23:47.45,1,0,1280,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:53:35PM,7,23x40,40,40,FR,0:24.40,0:00.00,24:11.85,1,40,1320,1.33,1:00.98,0:30.49,53,76,29,29,6
06/12/2023,05:53:59PM,7,23x40,40,0,REST,0:00.00,0:30.28,24:42.13,1,0,1320,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:54:30PM,7,23x40,40,40,FR,0:17.66,0:00.00,24:59.79,1,40,1360,1.6,0:44.15,0:22.08,42,83,24,24,5
06/12/2023,05:54:47PM,7,23x40,40,0,REST,0:00.00,0:19.36,25:19.15,1,0,1360,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:55:35PM,7,23x40,40,0,REST,0:00.00,0:10.25,25:29.40,1,0,1360,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:55:46PM,7,23x40,40,40,FR,0:17.71,0:00.00,25:47.11,1,40,1400,1.72,0:44.27,0:22.13,39,81,21,21,5
06/12/2023,05:56:03PM,7,23x40,40,0,REST,0:00.00,0:29.05,26:16.17,1,0,1400,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:56:35PM,7,23x40,40,0,REST,0:00.00,0:02.27,26:18.43,1,0,1400,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:56:38PM,7,23x40,40,40,FR,0:16.89,0:00.00,26:35.32,1,40,1440,1.98,0:42.21,0:21.11,35,76,18,18,5
06/12/2023,05:56:55PM,7,23x40,40,0,REST,0:00.00,0:10.75,26:46.07,1,0,1440,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:57:28PM,7,23x40,40,0,REST,0:00.00,0:19.78,27:05.85,1,0,1440,0,0:00.00,0:00.00,0,0,0,0,0
06/12/2023,05:57:48PM,7,23x40,40,40,FR,0:23.16,0:00.00,27:29.01,1,40,1480,1.61,0:57.90,0:28.95,46,63,23,23,6
06/12/2023,05:58:11PM,7,23x40,40,0,REST,0:00.00,0:30.33,27:59.34,1,0,1480,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:58:41PM,7,23x40,40,40,FR,0:17.15,0:00.00,28:16.49,1,40,1520,1.9,0:42.88,0:21.44,36,79,19,19,5
06/12/2023,05:58:59PM,7,23x40,40,0,REST,0:00.00,0:29.86,28:46.36,1,0,1520,0,0:00.00,0:00.00,0,0,0,0,1
06/12/2023,05:59:28PM,7,23x40,40,40,FR,0:16.52,0:00.00,29:02.88,1,40,1560,1.89,0:41.31,0:20.65,37,77,20,20,4
